文本内容,识别结果,风险原因
111,通过,NA
112,拒绝,politics:中华人民共和国-中央委员会-习近平-改革-政治局常委
113,通过,NA
114,拒绝,politics:护法运动
115,拒绝,politics:改革
116,通过,NA
117,拒绝,politics:改革
118,通过,NA
119,通过,NA
120,拒绝,politics:改革
121,拒绝,ad:咨询电话
122,通过,NA
123,通过,NA
124,通过,NA
125,通过,NA
126,拒绝,politics:习近平总书记
127,通过,NA
128,通过,NA
129,通过,NA
130,通过,NA
131,通过,NA
132,通过,NA
133,通过,NA
134,通过,NA
135,通过,NA
136,通过,NA
137,通过,NA
138,通过,NA
139,通过,NA
140,通过,NA
141,通过,NA
142,通过,NA
143,通过,NA
144,通过,NA
145,通过,NA
146,拒绝,politics:中华人民共和国
147,通过,NA
148,通过,NA
149,拒绝,politics:习近平
150,拒绝,politics:中国共产党
151,通过,NA
152,通过,NA
153,拒绝,politics:专制-土地改革-愚民政策-改革
154,通过,NA
155,通过,NA
156,通过,NA
157,拒绝,ban:博彩-购彩
158,拒绝,politics:陈冠希
159,通过,NA
160,拒绝,politics:习近平
161,通过,NA
162,通过,NA
163,通过,NA
164,拒绝,ad:诚信经营
165,拒绝,politics:中华人民共和国
166,通过,NA
167,通过,NA
168,通过,NA
169,通过,NA
170,通过,NA
171,通过,NA
172,通过,NA
173,通过,NA
174,通过,NA
175,拒绝,ad:微信公众号
176,拒绝,politics:习近平
177,通过,NA
178,通过,NA
179,通过,NA
180,通过,NA
181,通过,NA
182,通过,NA
183,通过,NA
184,通过,NA
185,通过,NA
186,拒绝,politics:党中央
187,通过,NA
188,通过,NA
189,通过,NA
190,通过,NA
191,通过,NA
192,通过,NA
193,通过,NA
194,拒绝,politics:改革
195,通过,NA
196,通过,NA
197,通过,NA
198,拒绝,politics:专制-愚民政策-改革-民主
199,通过,NA
200,通过,NA
201,通过,NA
202,通过,NA
203,拒绝,politics:中共产党-中国共产党-蒋介石
204,通过,NA
205,通过,NA
206,通过,NA
207,通过,NA
208,通过,NA
209,通过,NA
210,通过,NA
211,通过,NA
212,通过,NA
213,通过,NA
214,通过,NA
215,通过,NA
216,通过,NA
217,通过,NA
218,通过,NA
219,通过,NA
220,通过,NA
221,通过,NA
222,通过,NA
223,通过,NA
224,拒绝,politics:中华人民共和国
225,通过,NA
226,通过,NA
227,通过,NA
228,通过,NA
229,拒绝,politics:中国共产党-周恩来-毛泽东-遵义会议
230,通过,NA
231,通过,NA
232,通过,NA
233,通过,NA
234,通过,NA
235,拒绝,porn:乳头
236,通过,NA
237,通过,NA
238,通过,NA
239,通过,NA
240,拒绝,politics:专制-愚民政策-改革-民主
241,通过,NA
242,通过,NA
243,通过,NA
244,拒绝,porn:dick
245,拒绝,politics:民主
246,通过,NA
247,通过,NA
248,通过,NA
249,通过,NA
250,通过,NA
251,通过,NA
252,拒绝,politics:民主
253,通过,NA
254,通过,NA
255,拒绝,politics:外蒙
256,拒绝,politics:专制-愚民政策-改革
257,通过,NA
258,通过,NA
259,通过,NA
260,通过,NA
261,通过,NA
262,拒绝,politics:改革
263,通过,NA
264,通过,NA
265,拒绝,politics:中国共产党-共产党-国民党-改革
266,通过,NA
267,拒绝,politics:改革
268,拒绝,politics:改革
269,通过,NA
270,通过,NA
271,通过,NA
272,拒绝,politics:中国共产党-国民党-残酷迫害-蒋介石-遵义会议
273,通过,NA
274,通过,NA
275,通过,NA
276,拒绝,politics:中华人民共和国
277,拒绝,politics:中国共产党-共产党-周恩来-毛泽东
278,拒绝,politics:中国共产党-党中央
279,通过,NA
280,通过,NA
281,通过,NA
282,通过,NA
283,通过,NA
284,通过,NA
285,通过,NA
286,通过,NA
287,通过,NA
288,通过,NA
289,通过,NA
290,通过,NA
291,通过,NA
292,通过,NA
293,通过,NA
294,通过,NA
295,通过,NA
296,通过,NA
297,通过,NA
298,通过,NA
299,通过,NA
300,通过,NA
301,通过,NA
302,通过,NA
303,通过,NA
304,通过,NA
305,通过,NA
306,通过,NA
307,通过,NA
308,通过,NA
309,通过,NA
310,拒绝,politics:改革
311,通过,NA
312,通过,NA
313,通过,NA
314,通过,NA
315,拒绝,politics:改革
316,通过,NA
317,通过,NA
318,通过,NA
319,通过,NA
320,通过,NA
321,通过,NA
322,通过,NA
323,通过,NA
324,通过,NA
325,通过,NA
326,通过,NA
327,通过,NA
328,拒绝,politics:中国共产党
329,通过,NA
330,通过,NA
331,通过,NA
332,通过,NA
333,通过,NA
334,拒绝,porn:手淫
335,通过,NA
336,拒绝,politics:党中央
337,通过,NA
338,拒绝,politics:改革
339,通过,NA
340,拒绝,politics:改革-民主-陈独秀
341,通过,NA
342,通过,NA
343,通过,NA
344,通过,NA
345,通过,NA
346,通过,NA
347,通过,NA
348,拒绝,politics:习近平总书记
349,通过,NA
350,通过,NA
351,通过,NA
352,拒绝,politics:改革
353,通过,NA
354,拒绝,politics:改革
355,通过,NA
356,通过,NA
357,通过,NA
358,拒绝,politics:习近平总书记
359,拒绝,politics:国民党
360,通过,NA
361,通过,NA
362,拒绝,politics:中国共产党-毛泽东
363,通过,NA
364,通过,NA
365,通过,NA
366,通过,NA
367,通过,NA
368,通过,NA
369,通过,NA
370,通过,NA
371,通过,NA
372,拒绝,politics:改革
373,通过,NA
374,通过,NA
375,通过,NA
376,拒绝,politics:宪政-改革-民主
377,通过,NA
378,通过,NA
379,拒绝,porn:阳痿早泄
380,通过,NA
381,通过,NA
382,拒绝,ad:400-1619995
383,拒绝,abuse:纵欲
384,通过,NA
385,通过,NA
386,通过,NA
387,通过,NA
388,通过,NA
389,通过,NA
390,拒绝,politics:民主
391,通过,NA
392,通过,NA
393,通过,NA
394,通过,NA
395,通过,NA
396,通过,NA
397,通过,NA
398,拒绝,politics:习近平
399,通过,NA
400,拒绝,politics:中华人民共和国
401,拒绝,politics:龙应台;ban:卖血
402,通过,NA
403,通过,NA
404,通过,NA
405,通过,NA
406,通过,NA
407,拒绝,politics:满洲国
408,通过,NA
409,拒绝,politics:两个中国-中华人民共和国-共产党-文化大革命
410,通过,NA
411,通过,NA
412,通过,NA
413,通过,NA
414,通过,NA
415,拒绝,abuse:妈的
416,通过,NA
417,通过,NA
418,拒绝,politics:中共中央
419,通过,NA
420,通过,NA
421,通过,NA
422,通过,NA
423,通过,NA
424,通过,NA
425,通过,NA
426,通过,NA
427,通过,NA
428,通过,NA
429,通过,NA
430,通过,NA
431,通过,NA
432,通过,NA
433,通过,NA
434,通过,NA
435,通过,NA
436,通过,NA
437,通过,NA
438,通过,NA
439,通过,NA
440,通过,NA
441,通过,NA
442,通过,NA
443,通过,NA
444,通过,NA
445,通过,NA
446,通过,NA
447,通过,NA
448,拒绝,politics:习近平总书记
449,通过,NA
450,通过,NA
451,通过,NA
452,通过,NA
453,通过,NA
454,通过,NA
455,通过,NA
456,通过,NA
457,通过,NA
458,通过,NA
459,通过,NA
460,通过,NA
461,通过,NA
462,通过,NA
463,通过,NA
464,通过,NA
465,拒绝,politics:习近平-改革
466,拒绝,politics:中国共产党
467,拒绝,politics:中华人民共和国教育部
468,通过,NA
469,通过,NA
470,通过,NA
471,通过,NA
472,通过,NA
473,拒绝,ad:微信公众号
474,通过,NA
475,通过,NA
476,通过,NA
477,通过,NA
478,通过,NA
479,通过,NA
480,通过,NA
481,通过,NA
482,通过,NA
483,拒绝,politics:习近平总书记
484,通过,NA
485,通过,NA
486,通过,NA
487,拒绝,politics:改革
488,通过,NA
489,通过,NA
490,通过,NA
491,通过,NA
492,通过,NA
493,通过,NA
494,通过,NA
495,通过,NA
496,通过,NA
497,通过,NA
498,通过,NA
499,通过,NA
500,通过,NA
501,通过,NA
502,通过,NA
503,拒绝,abuse:精液;porn:阴道
504,通过,NA
505,通过,NA
506,通过,NA
507,拒绝,politics:改革
508,通过,NA
509,通过,NA
510,拒绝,politics:改革
511,通过,NA
512,拒绝,politics:习近平总书记
513,通过,NA
514,通过,NA
515,通过,NA
516,通过,NA
517,通过,NA
518,通过,NA
519,通过,NA
520,通过,NA
521,通过,NA
522,通过,NA
523,通过,NA
524,通过,NA
525,通过,NA
526,通过,NA
527,通过,NA
528,拒绝,ad:地方债
529,通过,NA
530,通过,NA
531,拒绝,politics:中华人民共和国
532,通过,NA
533,通过,NA
534,拒绝,politics:改革
535,拒绝,politics:改革
536,通过,NA
537,拒绝,politics:改革
538,通过,NA
539,通过,NA
540,通过,NA
541,拒绝,porn:口交
542,通过,NA
543,拒绝,politics:党中央-改革
544,通过,NA
545,通过,NA
546,通过,NA
547,通过,NA
548,通过,NA
549,通过,NA
550,拒绝,politics:习近平
551,通过,NA
552,拒绝,politics:人大代表-全国政协
553,通过,NA
554,拒绝,politics:中华人民共和国
555,通过,NA
556,通过,NA
557,通过,NA
558,通过,NA
559,通过,NA
560,通过,NA
561,通过,NA
562,通过,NA
563,通过,NA
564,通过,NA
565,拒绝,politics:中国共产党-改革
566,通过,NA
567,拒绝,politics:改革
568,通过,NA
569,通过,NA
570,拒绝,porn:做爱
571,拒绝,politics:习近平
572,拒绝,politics:改革
573,通过,NA
574,通过,NA
575,通过,NA
576,通过,NA
577,通过,NA
578,通过,NA
579,通过,NA
580,通过,NA
581,拒绝,politics:中华人民共和国
582,拒绝,politics:习大大
583,通过,NA
584,通过,NA
585,拒绝,politics:中国共产党-改革
586,通过,NA
587,通过,NA
588,通过,NA
589,拒绝,politics:中国共产党-共产党
590,通过,NA
591,拒绝,politics:文化大革命
592,通过,NA
593,通过,NA
594,通过,NA
595,通过,NA
596,拒绝,ad:关注公众号
597,通过,NA
598,通过,NA
599,通过,NA
600,通过,NA
601,通过,NA
602,通过,NA
603,通过,NA
604,通过,NA
605,拒绝,politics:中共的-中华人民共和国
606,通过,NA
607,拒绝,politics:毛主席
608,通过,NA
609,通过,NA
610,通过,NA
611,通过,NA
612,拒绝,porn:做爱
613,通过,NA
614,通过,NA
615,通过,NA
616,通过,NA
617,通过,NA
618,通过,NA
619,通过,NA
620,通过,NA
621,通过,NA
622,通过,NA
623,通过,NA
624,通过,NA
625,通过,NA
626,通过,NA
627,通过,NA
628,通过,NA
629,通过,NA
630,通过,NA
631,通过,NA
632,通过,NA
633,通过,NA
634,通过,NA
635,拒绝,politics:改革
636,通过,NA
637,通过,NA
638,拒绝,politics:蒋介石
639,通过,NA
640,通过,NA
641,拒绝,politics:民主
642,通过,NA
643,通过,NA
644,通过,NA
645,通过,NA
646,通过,NA
647,通过,NA
648,通过,NA
649,拒绝,ad:微信公众号
650,通过,NA
651,通过,NA
652,通过,NA
653,通过,NA
654,通过,NA
655,通过,NA
656,通过,NA
657,通过,NA
658,通过,NA
659,通过,NA
660,拒绝,politics:改革;porn:快感
661,通过,NA
662,通过,NA
663,通过,NA
664,通过,NA
665,通过,NA
666,通过,NA
667,通过,NA
668,通过,NA
669,通过,NA
670,通过,NA
671,通过,NA
672,拒绝,politics:中国人民共和国
673,通过,NA
674,通过,NA
675,通过,NA
676,通过,NA
677,通过,NA
678,通过,NA
679,通过,NA
680,通过,NA
681,通过,NA
682,通过,NA
683,通过,NA
684,通过,NA
685,通过,NA
686,通过,NA
687,通过,NA
688,拒绝,politics:中国共产党-共产党-国民党-毛泽东-蒋介石
689,通过,NA
690,通过,NA
691,拒绝,politics:中华人民共和国
692,通过,NA
693,通过,NA
694,通过,NA
695,通过,NA
696,通过,NA
697,通过,NA
698,通过,NA
699,通过,NA
700,通过,NA
701,通过,NA
702,通过,NA
703,通过,NA
704,拒绝,politics:改革
705,通过,NA
706,拒绝,politics:中华人民共和国
707,通过,NA
708,通过,NA
709,通过,NA
710,通过,NA
711,通过,NA
712,拒绝,politics:改革
713,通过,NA
714,通过,NA
715,拒绝,politics:改革
716,拒绝,porn:性奴
717,通过,NA
718,通过,NA
719,通过,NA
720,通过,NA
721,通过,NA
722,通过,NA
723,通过,NA
724,通过,NA
725,通过,NA
726,通过,NA
727,通过,NA
728,拒绝,ad:诚信经营
729,通过,NA
730,通过,NA
731,通过,NA
732,通过,NA
733,通过,NA
734,通过,NA
735,通过,NA
736,通过,NA
737,拒绝,politics:中华人民共和国
738,通过,NA
739,通过,NA
740,通过,NA
741,通过,NA
742,通过,NA
743,拒绝,politics:改革
744,通过,NA
745,通过,NA
746,通过,NA
747,通过,NA
748,通过,NA
749,通过,NA
750,通过,NA
751,通过,NA
752,通过,NA
753,通过,NA
754,通过,NA
755,通过,NA
756,通过,NA
757,通过,NA
758,通过,NA
759,通过,NA
760,通过,NA
761,通过,NA
762,通过,NA
763,通过,NA
764,通过,NA
765,通过,NA
766,通过,NA
767,通过,NA
768,通过,NA
769,通过,NA
770,拒绝,politics:中华人民共和国
771,通过,NA
772,拒绝,abuse:精液;porn:性功能-睾丸
773,通过,NA
774,拒绝,porn:自慰
775,通过,NA
776,通过,NA
777,拒绝,politics:中华人民共和国
778,通过,NA
779,通过,NA
780,拒绝,politics:中华人民共和国
781,通过,NA
782,通过,NA
783,通过,NA
784,通过,NA
785,通过,NA
786,通过,NA
787,通过,NA
788,通过,NA
789,通过,NA
790,通过,NA
791,通过,NA
792,通过,NA
793,拒绝,politics:尼克松-希特勒-文革-毛泽东
794,通过,NA
795,通过,NA
796,通过,NA
797,通过,NA
798,通过,NA
799,通过,NA
800,通过,NA
801,通过,NA
802,通过,NA
803,通过,NA
804,通过,NA
805,通过,NA
806,通过,NA
807,通过,NA
808,通过,NA
809,通过,NA
810,通过,NA
811,通过,NA
812,拒绝,politics:中央机构
813,通过,NA
814,通过,NA
815,通过,NA
816,通过,NA
817,通过,NA
818,通过,NA
819,通过,NA
820,通过,NA
821,通过,NA
822,通过,NA
823,通过,NA
824,通过,NA
825,通过,NA
826,拒绝,politics:反动-土地改革
827,拒绝,ban:气枪
828,通过,NA
829,拒绝,ban:麻黄素
830,拒绝,politics:改革
831,通过,NA
832,通过,NA
833,通过,NA
834,通过,NA
835,通过,NA
836,通过,NA
837,通过,NA
838,通过,NA
839,通过,NA
840,通过,NA
841,通过,NA
842,拒绝,politics:中华人民共和国-中华人民共和国教育部
843,通过,NA
844,通过,NA
845,通过,NA
846,通过,NA
847,通过,NA
848,通过,NA
849,通过,NA
850,通过,NA
851,通过,NA
852,拒绝,politics:改革
853,拒绝,politics:共和国
854,拒绝,ban:翻墙软件
855,通过,NA
856,拒绝,politics:中国共产党
857,通过,NA
858,通过,NA
859,通过,NA
860,通过,NA
861,通过,NA
862,通过,NA
863,通过,NA
864,通过,NA
865,通过,NA
866,通过,NA
867,通过,NA
868,通过,NA
869,通过,NA
870,通过,NA
871,通过,NA
872,通过,NA
873,通过,NA
874,通过,NA
875,拒绝,politics:中华人民共和国
876,通过,NA
877,通过,NA
878,通过,NA
879,通过,NA
880,通过,NA
881,通过,NA
882,通过,NA
883,通过,NA
884,通过,NA
885,拒绝,politics:改革
886,拒绝,porn:乳房
887,通过,NA
888,通过,NA
889,通过,NA
890,拒绝,politics:中共-中共中央政治局-中华人民共和国-中国共产党-共产党-国民党-土地改革-毛泽东
891,通过,NA
892,通过,NA
893,拒绝,politics:习近平
894,通过,NA
895,通过,NA
896,通过,NA
897,通过,NA
898,通过,NA
899,通过,NA
900,通过,NA
901,通过,NA
902,通过,NA
903,拒绝,politics:民主
904,通过,NA
905,通过,NA
906,通过,NA
907,通过,NA
908,通过,NA
909,拒绝,politics:改革
910,通过,NA
911,通过,NA
912,通过,NA
913,通过,NA
914,拒绝,politics:中华人民共和国
915,拒绝,politics:改革
916,通过,NA
917,拒绝,porn:上门服务
918,通过,NA
919,通过,NA
920,通过,NA
921,通过,NA
922,通过,NA
923,拒绝,politics:中国共产党
924,通过,NA
925,通过,NA
926,通过,NA
927,通过,NA
928,通过,NA
929,通过,NA
930,通过,NA
931,拒绝,abuse:卧槽
932,通过,NA
933,通过,NA
934,通过,NA
935,通过,NA
936,拒绝,politics:中国共产党-叛党
937,通过,NA
938,通过,NA
939,通过,NA
940,通过,NA
941,拒绝,politics:宪政-改革
942,拒绝,politics:改革
943,拒绝,politics:中国共产党-习近平
944,通过,NA
945,拒绝,politics:全国人民代表大会
946,拒绝,politics:改革
947,通过,NA
948,通过,NA
949,通过,NA
950,通过,NA
951,通过,NA
952,通过,NA
953,通过,NA
954,通过,NA
955,通过,NA
956,通过,NA
957,拒绝,abuse:被插
958,通过,NA
959,拒绝,porn:乳房
960,通过,NA
961,通过,NA
962,通过,NA
963,通过,NA
964,通过,NA
965,通过,NA
966,通过,NA
967,拒绝,porn:爱液
968,通过,NA
969,拒绝,politics:改革
970,通过,NA
971,通过,NA
972,通过,NA
973,通过,NA
974,拒绝,politics:改革-民主
975,通过,NA
976,通过,NA
977,通过,NA
978,通过,NA
979,通过,NA
980,通过,NA
981,通过,NA
982,通过,NA
983,通过,NA
984,通过,NA
985,通过,NA
986,通过,NA
987,通过,NA
988,通过,NA
989,通过,NA
990,拒绝,politics:中央政府
991,通过,NA
992,通过,NA
993,通过,NA
994,通过,NA
995,拒绝,politics:习近平
996,通过,NA
997,通过,NA
998,拒绝,porn:成人色情网站-色情网站
999,通过,NA
1000,通过,NA
1001,通过,NA
1002,通过,NA
1003,通过,NA
1004,通过,NA
1005,通过,NA
1006,通过,NA
1007,通过,NA
1008,通过,NA
1009,通过,NA
1010,通过,NA
1011,通过,NA
1012,通过,NA
1013,通过,NA
1014,通过,NA
1015,通过,NA
1016,拒绝,politics:中国共产党
1017,通过,NA
1018,通过,NA
1019,通过,NA
1020,通过,NA
1021,通过,NA
1022,通过,NA
1023,通过,NA
1024,拒绝,politics:改革
1025,通过,NA
1026,通过,NA
1027,通过,NA
1028,拒绝,politics:中华人民共和国
1029,通过,NA
1030,拒绝,politics:中国共产党中央委员会
1031,通过,NA
1032,拒绝,porn:性生活
1033,通过,NA
1034,通过,NA
1035,拒绝,politics:民主
1036,拒绝,politics:共和国-奥巴马-尼克松-文化革命-普京-毛泽东-民主
1037,通过,NA
1038,通过,NA
1039,通过,NA
1040,通过,NA
1041,通过,NA
1042,通过,NA
1043,通过,NA
1044,通过,NA
1045,拒绝,politics:宪政-改革
1046,通过,NA
1047,拒绝,politics:中国共产党
1048,拒绝,politics:中国共产党-改革-朱德-林彪-蒋介石
1049,拒绝,ban:贩毒
1050,通过,NA
1051,通过,NA
1052,通过,NA
1053,通过,NA
1054,通过,NA
1055,通过,NA
1056,拒绝,politics:中华人民共和国
1057,通过,NA
1058,通过,NA
1059,通过,NA
1060,通过,NA
1061,拒绝,politics:全国政协
1062,通过,NA
1063,通过,NA
1064,通过,NA
1065,通过,NA
1066,通过,NA
1067,拒绝,politics:习近平总书记
1068,通过,NA
1069,通过,NA
1070,通过,NA
1071,通过,NA
1072,通过,NA
1073,通过,NA
1074,通过,NA
1075,通过,NA
1076,通过,NA
1077,通过,NA
1078,拒绝,politics:中央政治局
1079,通过,NA
1080,通过,NA
1081,通过,NA
1082,通过,NA
1083,通过,NA
1084,拒绝,politics:中国共产党-遵义会议
1085,通过,NA
1086,通过,NA
1087,通过,NA
1088,通过,NA
1089,拒绝,politics:改革
1090,通过,NA
1091,拒绝,politics:中华人民共和国
1092,拒绝,politics:中华人民共和国
1093,通过,NA
1094,拒绝,politics:中共中央-中国共产党-土地改革-毛泽东
1095,通过,NA
1096,拒绝,politics:改革
1097,通过,NA
1098,通过,NA
1099,通过,NA
1100,通过,NA
1101,通过,NA
1102,通过,NA
1103,通过,NA
1104,通过,NA
1105,通过,NA
1106,通过,NA
1107,通过,NA
1108,通过,NA
1109,通过,NA
1110,拒绝,politics:改革-民主
1111,通过,NA
1112,拒绝,politics:海参崴
1113,通过,NA
1114,通过,NA
1115,通过,NA
1116,通过,NA
1117,通过,NA
1118,通过,NA
1119,通过,NA
1120,通过,NA
1121,拒绝,abuse:精液;porn:阴道
1122,通过,NA
1123,通过,NA
1124,通过,NA
1125,通过,NA
1126,通过,NA
1127,拒绝,politics:共和国
1128,通过,NA
1129,通过,NA
1130,通过,NA
1131,通过,NA
1132,通过,NA
1133,拒绝,politics:改革
1134,通过,NA
1135,通过,NA
1136,通过,NA
1137,通过,NA
1138,通过,NA
1139,通过,NA
1140,拒绝,politics:中国共产党
1141,通过,NA
1142,通过,NA
1143,通过,NA
1144,拒绝,politics:文化大革命
1145,通过,NA
1146,通过,NA
1147,通过,NA
1148,通过,NA
1149,通过,NA
1150,通过,NA
1151,通过,NA
1152,通过,NA
1153,通过,NA
1154,通过,NA
1155,通过,NA
1156,通过,NA
1157,通过,NA
1158,通过,NA
1159,通过,NA
1160,通过,NA
1161,通过,NA
1162,通过,NA
1163,通过,NA
1164,拒绝,politics:改革
1165,拒绝,politics:改革
1166,通过,NA
1167,通过,NA
1168,通过,NA
1169,通过,NA
1170,通过,NA
1171,通过,NA
1172,拒绝,politics:习近平总书记
1173,通过,NA
1174,通过,NA
1175,通过,NA
1176,通过,NA
1177,通过,NA
1178,通过,NA
1179,拒绝,politics:希特勒
1180,通过,NA
1181,通过,NA
1182,通过,NA
1183,通过,NA
1184,通过,NA
1185,通过,NA
1186,拒绝,politics:习近平总书记
1187,通过,NA
1188,通过,NA
1189,通过,NA
1190,通过,NA
1191,通过,NA
1192,拒绝,ban:爆炸物
1193,通过,NA
1194,通过,NA
1195,通过,NA
1196,通过,NA
1197,拒绝,politics:中华人民共和国
1198,通过,NA
1199,通过,NA
1200,通过,NA
1201,通过,NA
1202,通过,NA
1203,拒绝,politics:习近平
1204,通过,NA
1205,通过,NA
1206,通过,NA
1207,通过,NA
1208,拒绝,politics:中华人民共和国
1209,通过,NA
1210,通过,NA
1211,通过,NA
1212,通过,NA
1213,通过,NA
1214,通过,NA
1215,通过,NA
1216,通过,NA
1217,通过,NA
1218,通过,NA
1219,通过,NA
1220,通过,NA
1221,通过,NA
1222,通过,NA
1223,通过,NA
1224,通过,NA
1225,通过,NA
1226,通过,NA
1227,通过,NA
1228,通过,NA
1229,拒绝,ad:400-600-0909
1230,拒绝,politics:改革
1231,通过,NA
1232,通过,NA
1233,通过,NA
1234,通过,NA
1235,通过,NA
1236,通过,NA
1237,通过,NA
1238,通过,NA
1239,通过,NA
1240,通过,NA
1241,通过,NA
1242,通过,NA
1243,拒绝,politics:邓小平
1244,通过,NA
1245,通过,NA
1246,通过,NA
1247,通过,NA
1248,通过,NA
1249,通过,NA
1250,通过,NA
1251,通过,NA
1252,拒绝,politics:改革
1253,通过,NA
1254,拒绝,politics:改革
1255,通过,NA
1256,通过,NA
1257,拒绝,politics:中国共产党
1258,通过,NA
1259,通过,NA
1260,通过,NA
1261,拒绝,politics:改革
1262,拒绝,politics:中华人民共和国
1263,拒绝,politics:中华人民共和国
1264,通过,NA
1265,通过,NA
1266,通过,NA
1267,通过,NA
1268,通过,NA
1269,通过,NA
1270,通过,NA
1271,通过,NA
1272,拒绝,politics:中华人民共和国
1273,通过,NA
1274,通过,NA
1275,通过,NA
1276,拒绝,politics:改革
1277,通过,NA
1278,通过,NA
1279,通过,NA
1280,拒绝,politics:中国共产党-习近平-习近平总书记-改革
1281,拒绝,politics:人大代表
1282,通过,NA
1283,通过,NA
1284,通过,NA
1285,通过,NA
1286,通过,NA
1287,通过,NA
1288,通过,NA
1289,通过,NA
1290,拒绝,politics:中央机构
1291,通过,NA
1292,通过,NA
1293,通过,NA
1294,通过,NA
1295,通过,NA
1296,通过,NA
1297,通过,NA
1298,通过,NA
1299,拒绝,politics:中国共产党
1300,拒绝,politics:中国共产党
1301,拒绝,ad:房屋出租
1302,拒绝,politics:中共领导人-中华民国-毛泽东
1303,拒绝,politics:共和国-宪政
1304,拒绝,politics:中国共产党
1305,通过,NA
1306,通过,NA
1307,通过,NA
1308,通过,NA
1309,通过,NA
1310,通过,NA
1311,拒绝,politics:中华人民共和国
1312,通过,NA
1313,通过,NA
1314,通过,NA
1315,通过,NA
1316,通过,NA
1317,拒绝,politics:党中央-改革-民主
1318,通过,NA
1319,通过,NA
1320,通过,NA
1321,拒绝,politics:习近平总书记
1322,拒绝,politics:习近平
1323,通过,NA
1324,通过,NA
1325,通过,NA
1326,通过,NA
1327,通过,NA
1328,通过,NA
1329,通过,NA
1330,通过,NA
1331,通过,NA
1332,通过,NA
1333,通过,NA
1334,通过,NA
1335,拒绝,ad:诚信经营
1336,通过,NA
1337,通过,NA
1338,通过,NA
1339,通过,NA
1340,通过,NA
1341,通过,NA
1342,拒绝,abuse:精液
1343,通过,NA
1344,通过,NA
1345,拒绝,politics:改革
1346,拒绝,politics:周恩来
1347,通过,NA
1348,通过,NA
1349,拒绝,politics:中华人民共和国
1350,通过,NA
1351,通过,NA
1352,通过,NA
1353,通过,NA
1354,通过,NA
1355,通过,NA
1356,通过,NA
1357,通过,NA
1358,通过,NA
1359,通过,NA
1360,通过,NA
1361,通过,NA
1362,通过,NA
1363,拒绝,politics:改革
1364,拒绝,politics:监管不到位
1365,通过,NA
1366,拒绝,politics:共产党
1367,通过,NA
1368,通过,NA
1369,通过,NA
1370,通过,NA
1371,拒绝,politics:改革
1372,通过,NA
1373,通过,NA
1374,通过,NA
1375,通过,NA
1376,通过,NA
1377,拒绝,politics:改革
1378,通过,NA
1379,通过,NA
1380,通过,NA
1381,通过,NA
1382,拒绝,politics:中国共产党
1383,拒绝,politics:则民
1384,通过,NA
1385,通过,NA
1386,通过,NA
1387,通过,NA
1388,通过,NA
1389,拒绝,politics:中华人民共和国
1390,通过,NA
1391,通过,NA
1392,通过,NA
1393,通过,NA
1394,通过,NA
1395,通过,NA
1396,通过,NA
1397,通过,NA
1398,拒绝,politics:中华人民共和国
1399,通过,NA
1400,通过,NA
1401,通过,NA
1402,通过,NA
1403,通过,NA
1404,通过,NA
1405,拒绝,politics:中华人民共和国
1406,通过,NA
